n,n_reaches,rmse_c,mae_c,bias_c,r2_c,rmse_f,mae_f,bias_f,flux_total_mol_m2d,flux_obs_proxy_total,scheme,model,cv_protocol,subgroup,subgroup_label,evidence_weight,notes
120,8,0.02836452783309524,0.013226397914714664,-0.013226397914714664,-0.26448616040058437,1.7327565221304961,0.9729492404191947,-0.9729492404191947,3.2435123630674023,119.99742121337076,baseline,none,loo_date,all_120,All 120 samples,all,"nested CV coupled transport (held-out S_sgs or k, then physics)"
120,8,0.028364527833095243,0.013226397914714664,-0.013226397914714664,-0.26448616040058504,1.7327565221304964,0.9729492404191947,-0.9729492404191947,3.243512363067402,119.99742121337077,baseline,none,loo_reach,all_120,All 120 samples,all,"nested CV coupled transport (held-out S_sgs or k, then physics)"
120,8,0.024437261490407473,0.004625841147474016,-0.004606459191081995,0.06142704599072302,1.7826522324868628,0.999717958630861,-0.999717958630861,0.03126617766746537,119.99742121337076,k_correction,xgboost,loo_date,all_120,All 120 samples,all,"nested CV coupled transport (held-out S_sgs or k, then physics)"
120,8,0.024437261490407473,0.004625841147474015,-0.004606459191081994,0.061427045990722684,1.7826522324868628,0.9997179586308609,-0.9997179586308609,0.031266177667465374,119.99742121337077,k_correction,xgboost,loo_reach,all_120,All 120 samples,all,"nested CV coupled transport (held-out S_sgs or k, then physics)"
120,8,0.05908048189878478,0.0324656829487854,0.01994500630260917,-4.485939596528781,1.5542624007065076,0.9218337480044966,-0.10722043971309918,107.13096844779886,119.99742121337076,residual_ai,mlp,loo_date,all_120,All 120 samples,all,"nested CV coupled transport (held-out S_sgs or k, then physics)"
120,8,0.05731673069957816,0.032587784238849525,0.01766808504970883,-4.1632812784233595,1.5621584129588038,1.0295628848803677,-0.4207525630410411,69.50711364844582,119.99742121337077,residual_ai,mlp,loo_reach,all_120,All 120 samples,all,"nested CV coupled transport (held-out S_sgs or k, then physics)"
120,8,0.0746529122618155,0.02931691738644566,0.017959101963297378,-7.759039249022312,2.0375808783383214,0.9768884158273917,0.15560274581240174,138.66975071085898,119.99742121337076,residual_ai,random_forest,loo_date,all_120,All 120 samples,all,"nested CV coupled transport (held-out S_sgs or k, then physics)"
120,8,0.07449907132137573,0.0301470947440356,0.01799112099710955,-7.722976077045237,2.1030025657934464,1.0966846077651804,0.19444980037259302,143.33139725808195,119.99742121337077,residual_ai,random_forest,loo_reach,all_120,All 120 samples,all,"nested CV coupled transport (held-out S_sgs or k, then physics)"
120,8,0.028364527833095267,0.013226397914714713,-0.013226397914714713,-0.2644861604005866,1.7327565221304961,0.9729492404191947,-0.9729492404191947,3.2435123630673965,119.99742121337076,baseline,baseline_in_sample,in_sample,all_120,"All 120 (in-sample, optimistic)",optimistic_appendix,Trains and predicts on the same 120 rows — not a paper metric.
120,8,0.0012700067245560108,0.0005628736787177749,0.0005270508373484798,0.9974650172734545,0.027448416559732444,0.015949126499742266,0.012521979655330943,121.50005877201048,119.99742121337076,in_sample_appendix,residual_ai_in_sample_optimistic,in_sample,all_120,"All 120 (in-sample, optimistic)",optimistic_appendix,Trains and predicts on the same 120 rows — not a paper metric.
